연번,호선,역명,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,이산화질소,라돈,휘발성유기화합물,데이터기준일자
212,7호선,청담,52.6 ,31.8 ,498.9 ,7.1 ,0.5 ,0.025 ,32.0 ,132.4 ,2023-12-31
213,7호선,강남구청,70.6 ,36.6 ,627.3 ,11.4 ,0.5 ,0.019 ,36.9 ,197.2 ,2023-12-31
214,7호선,학동,64.0 ,26.3 ,663.0 ,8.1 ,0.9 ,0.034 ,24.6 ,347.0 ,2023-12-31
215,7호선,논현,41.8 ,32.1 ,589.9 ,8.7 ,0.5 ,0.029 ,28.0 ,298.0 ,2023-12-31
216,7호선,반포,37.6 ,25.5 ,475.3 ,6.3 ,0.7 ,0.038 ,24.6 ,76.3 ,2023-12-31
217,7호선,고속터미널(7),33.1 ,28.5 ,671.3 ,10.5 ,0.7 ,0.028 ,34.8 ,269.2 ,2023-12-31
218,7호선,내방,63.6 ,37.3 ,474.1 ,6.6 ,0.5 ,0.028 ,33.2 ,104.7 ,2023-12-31
219,7호선,이수(7),39.9 ,25.7 ,548.9 ,10.4 ,0.7 ,0.029 ,47.0 ,150.5 ,2023-12-31
220,7호선,남성,29.0 ,24.0 ,444.9 ,8.1 ,0.5 ,0.024 ,34.8 ,123.6 ,2023-12-31
221,7호선,숭실대입구,31.4 ,29.8 ,492.9 ,9.5 ,0.5 ,0.022 ,49.8 ,170.2 ,2023-12-31
222,7호선,상도,25.3 ,26.5 ,443.7 ,9.3 ,0.4 ,0.022 ,46.5 ,166.0 ,2023-12-31
223,7호선,장승배기,41.0 ,22.1 ,439.5 ,9.9 ,0.6 ,0.026 ,39.8 ,77.7 ,2023-12-31
224,7호선,신대방삼거리,35.3 ,27.9 ,455.2 ,8.9 ,0.3 ,0.016 ,48.2 ,103.5 ,2023-12-31
225,7호선,보라매,44.7 ,28.1 ,457.5 ,5.7 ,0.7 ,0.021 ,31.5 ,43.2 ,2023-12-31
226,7호선,신풍,48.7 ,23.0 ,449.2 ,6.8 ,0.3 ,0.021 ,36.5 ,43.1 ,2023-12-31
227,7호선,대림(7),26.2 ,24.3 ,467.3 ,7.2 ,0.8 ,0.028 ,29.8 ,128.9 ,2023-12-31
228,7호선,남구로,57.7 ,46.5 ,462.1 ,8.3 ,0.4 ,0.026 ,46.5 ,179.6 ,2023-12-31
229,7호선,가산디지털단지(7),37.5 ,29.8 ,635.9 ,8.7 ,0.5 ,0.016 ,45.9 ,274.6 ,2023-12-31
230,7호선,철산,25.7 ,26.9 ,456.6 ,8.7 ,0.3 ,0.015 ,33.2 ,235.6 ,2023-12-31
231,7호선,광명사거리,50.9 ,31.1 ,493.2 ,10.5 ,1.2 ,0.041 ,26.5 ,252.1 ,2023-12-31
232,7호선,천왕,41.5 ,33.6 ,456.0 ,5.5 ,0.5 ,0.025 ,39.3 ,191.1 ,2023-12-31
233,7호선,온수(7),24.8 ,24.2 ,473.5 ,12.0 ,0.8 ,0.020 ,31.5 ,154.2 ,2023-12-31
234,8호선,암사,31.4 ,25.2 ,501.3 ,12.4 ,0.9 ,0.027 ,26.5 ,170.2 ,2023-12-31
235,8호선,천호(5),81.8 ,35.7 ,643.9 ,11.6 ,1.1 ,0.076 ,31.5 ,163.8 ,2023-12-31
236,8호선,강동구청,78.6 ,28.0 ,493.5 ,10.7 ,0.9 ,0.039 ,33.2 ,160.4 ,2023-12-31
237,8호선,몽촌토성,43.3 ,28.4 ,555.4 ,5.2 ,1.1 ,0.090 ,28.2 ,100.7 ,2023-12-31
238,8호선,잠실(8),37.0 ,33.0 ,604.5 ,4.5 ,0.9 ,0.053 ,33.7 ,115.5 ,2023-12-31
239,8호선,석촌(8),87.5 ,40.9 ,684.7 ,4.9 ,1.1 ,0.031 ,38.2 ,111.1 ,2023-12-31
240,8호선,송파,46.6 ,40.3 ,478.5 ,5.0 ,0.3 ,0.021 ,34.8 ,115.3 ,2023-12-31
241,8호선,가락시장(8),62.6 ,30.5 ,543.7 ,6.4 ,1.0 ,0.037 ,28.2 ,180.8 ,2023-12-31
242,8호선,문정,54.3 ,37.7 ,490.5 ,4.4 ,0.4 ,0.025 ,29.8 ,146.8 ,2023-12-31
243,8호선,장지,39.7 ,32.9 ,578.6 ,5.3 ,1.6 ,0.087 ,29.8 ,228.4 ,2023-12-31
244,8호선,복정,56.7 ,67.7 ,529.5 ,4.0 ,0.7 ,0.075 ,39.8 ,123.8 ,2023-12-31
245,8호선,산성,28.6 ,26.0 ,493.5 ,3.6 ,0.7 ,0.026 ,36.5 ,115.5 ,2023-12-31
246,8호선,남한산성입구,23.3 ,23.2 ,615.1 ,8.1 ,1.2 ,0.088 ,41.5 ,201.8 ,2023-12-31
247,8호선,단대오거리,41.5 ,23.1 ,519.1 ,6.3 ,0.9 ,0.054 ,29.9 ,120.0 ,2023-12-31
248,8호선,신흥,45.4 ,30.2 ,533.8 ,9.5 ,1.0 ,0.035 ,41.4 ,278.8 ,2023-12-31
249,8호선,수진,67.7 ,40.3 ,484.1 ,6.8 ,0.6 ,0.036 ,29.9 ,201.0 ,2023-12-31
250,8호선,모란,27.7 ,19.3 ,540.5 ,5.5 ,0.7 ,0.038 ,33.2 ,124.9 ,2023-12-31
251,9호선,언주,29.7 ,43.5 ,344.0 ,25.1 ,1.1 ,0.025 ,23.1 ,127.7 ,2023-12-31
252,9호선,선정릉,45.6 ,58.7 ,394.7 ,23.3 ,1.1 ,0.025 ,31.3 ,112.6 ,2023-12-31
253,9호선,삼성중앙,29.2 ,30.6 ,357.0 ,20.2 ,1.3 ,0.026 ,13.9 ,81.2 ,2023-12-31
254,9호선,봉은사,34.0 ,21.3 ,397.5 ,19.6 ,1.4 ,0.041 ,15.7 ,92.9 ,2023-12-31
255,9호선,종합운동장(9),39.3 ,27.0 ,376.0 ,20.0 ,1.2 ,0.033 ,25.4 ,76.5 ,2023-12-31
256,9호선,삼전,47.7 ,44.8 ,459.0 ,25.7 ,1.2 ,0.033 ,57.1 ,106.9 ,2023-12-31
257,9호선,석촌고분,52.3 ,39.0 ,418.5 ,23.5 ,1.2 ,0.045 ,20.0 ,106.8 ,2023-12-31
258,9호선,석촌,45.1 ,55.5 ,364.8 ,25.3 ,1.2 ,0.030 ,26.7 ,110.2 ,2023-12-31
259,9호선,송파나루,41.3 ,58.4 ,349.0 ,21.0 ,1.3 ,0.033 ,30.0 ,101.7 ,2023-12-31
260,9호선,한성백제,38.1 ,33.3 ,310.5 ,22.3 ,1.1 ,0.015 ,19.3 ,96.5 ,2023-12-31
261,9호선,올림픽공원,54.8 ,50.1 ,372.7 ,28.5 ,1.3 ,0.015 ,27.3 ,88.8 ,2023-12-31
262,9호선,둔촌오륜,38.2 ,49.1 ,347.0 ,25.1 ,1.3 ,0.035 ,29.6 ,74.7 ,2023-12-31
263,9호선,중앙보훈병원,22.3 ,44.9 ,378.0 ,25.6 ,1.2 ,0.012 ,40.4 ,89.0 ,2023-12-31
